Time,Ecg1
19:36:07.842,325.0
19:36:10.186,-204.0
19:36:10.226,-425.0
19:36:10.266,-515.0
19:36:10.306,-613.0
19:36:10.346,-590.0
19:36:10.386,-498.0
19:36:10.426,-106.0
19:36:10.466,-273.0
19:36:10.506,-219.0
19:36:10.546,373.0
19:36:10.586,1104.0
19:36:10.626,704.0
19:36:10.666,554.0
19:36:10.706,633.0
19:36:10.746,863.0
19:36:10.786,912.0
19:36:10.826,532.0
19:36:10.866,139.0
19:36:10.906,-18.0
19:36:10.946,-148.0
19:36:10.986,-338.0
19:36:11.026,-432.0
19:36:11.066,-556.0
19:36:11.106,-614.0
19:36:11.146,-791.0
19:36:11.186,-1214.0
19:36:11.226,719.0
19:36:11.266,138.0
19:36:11.306,-552.0
19:36:11.346,-827.0
19:36:11.386,-769.0
19:36:11.426,-641.0
19:36:11.466,-772.0
19:36:11.506,-1005.0
19:36:11.546,-1101.0
19:36:11.586,-1019.0
19:36:11.626,-921.0
19:36:11.666,-873.0
19:36:11.706,-808.0
19:36:11.746,-711.0
19:36:11.786,-435.0
19:36:11.826,-513.0
19:36:11.866,-569.0
19:36:11.906,164.0
19:36:11.946,590.0
19:36:11.986,7.0
19:36:12.026,-276.0
19:36:12.066,-356.0
19:36:12.106,-204.0
19:36:12.146,-244.0
19:36:12.186,-502.0
19:36:12.226,-659.0
19:36:12.266,-720.0
19:36:12.306,-699.0
19:36:12.346,-668.0
19:36:12.386,-633.0
19:36:12.426,-664.0
19:36:12.466,-422.0
19:36:12.506,-584.0
19:36:12.546,-643.0
19:36:12.586,-474.0
19:36:12.626,456.0
19:36:12.666,-24.0
19:36:12.706,-204.0
19:36:12.746,-215.0
19:36:12.786,-8.0
19:36:12.826,72.0
19:36:12.866,-153.0
19:36:12.906,-364.0
19:36:12.946,-479.0
19:36:12.986,-551.0
19:36:13.026,-486.0
19:36:13.066,-411.0
19:36:13.106,-333.0
19:36:13.146,-214.0
19:36:13.186,66.0
19:36:13.226,-55.0
19:36:13.266,-120.0
19:36:13.306,-396.0
19:36:13.346,692.0
19:36:13.386,219.0
19:36:13.426,-71.0
19:36:13.466,-128.0
19:36:13.506,-12.0
19:36:13.546,89.0
19:36:13.586,-65.0
19:36:13.626,-220.0
19:36:13.666,-307.0
19:36:13.706,-345.0
19:36:13.746,-308.0
19:36:13.786,-272.0
19:36:13.826,-328.0
19:36:13.866,-382.0
